timing,collisions,ticks,id
407.9629645347595,0,2957,147
422.09265398979187,1,3130,151
450.9272027015686,196,3454,157
444.8857798576355,0,3549,163
419.72945761680603,0,3582,173
403.88436126708984,0,3613,179
